No,,Plnt,Loca,Description,Material,Material Description,BUn,Jumlah SAP,,Ceklis,Keterangan,Harga SAP
1,,E451,SR01,Main Store,1600014501,AMMONIUM CHLORIDE 25% N,KG,"518,668.50",,,,"1,382,251,552"
7,,E451,SR01,Main Store,1600002290,"FERT,STRAIGHT,KIESERITE (27% MGO)",KG,"20,375",,,,"71,618,125"
174,,E451,SR01,Main Store,4400055343,"MEC,HOSE,HOSE ASSY 3/8"" R2 430 CM",PCS,5,,,,"1,710,000"
219,,E451,SR01,Main Store,1600015056,"GEN-ST,MW-TOOLS,APAR POWDER 3 KG",UNI,2,,,,240
272,,E451,SR01,Main Store,4400009177,"FORD,558D,NUT HEX LOCK N620468-S7",PCS,1,,,,58
276,,E451,SR01,Main Store,4400014860,"ELCT,LAMP,BOLA LAMPU",PCS,1,,,,"90,259"
