No,,Plnt,Loca,Description,Material,Material Description,BUn,Jumlah SAP,,Ceklis,Keterangan,Harga SAP
1,,E451,SR01,Main Store,1600014501,AMMONIUM CHLORIDE 25% N,KG,"1,668.50",,,,"1,382,251,552"
2,,E451,SR01,Main Store,1600006794,"FERT,STRAIGHT,MURIATE OF POTASH",KG,"1,499.25",,,,"1,054,643,163"
