No,,Plnt,Loca,Description,Material,Material Description,BUn,Jumlah SAP,,Ceklis,Keterangan,Harga SAP
223,,E451,SR01,Main Store,4400003666,"MITS,PS120,BOLT MB 308935",PCS,2,,,,"13,778"
224,,E451,SR01,Main Store,4400004148,"MITS,PS120,MB 293010  YOKE PRPELER SHAFT",PCS,2,,,,"596,667"
225,,E451,SR01,Main Store,4400005476,"FORD,6640,DRAW BAR E3NN-805-AA",PCS,2,,,,"5,653,153"
226,,E451,SR01,Main Store,4400006020,"FORD,6640,DRAW BAR D2NN-805-A",PCS,2,,,,"5,018,018"
227,,E451,SR01,Main Store,4400006434,"FORD,6640,NUT RR WHEEL HUB MF 430124",PCS,2,,,,170
228,,E451,SR01,Main Store,4400006637,"FORD,6640,DRAW BAR E0NN-805-AC",PCS,2,,,,"4,897,298"
229,,E451,SR01,Main Store,4400007162,"FORD,6640,SPINDEL 81411367 / E1ADDN 7565",PCS,2,,,,"1,700,000"
230,,E451,SR01,Main Store,4400007977,"KOM,GD510R,LOCK RING 234-30-11330",PCS,2,,,,"4,366,667"
231,,E451,SR01,Main Store,4400008923,"FORD,558D,KIT SEAL 83971962",SET,2,,,,"6,880,000"
232,,E451,SR01,Main Store,4400009206,"FORD,558D,KIT SEAL 83962835",PCS,2,,,,"11,140,000"
233,,E451,SR01,Main Store,4400013828,"MEC,FLTR,OIL FILTER 1305",PCS,2,,,,"577,333"
234,,E451,SR01,Main Store,4400027087,"MITS,PS120,BRACKET RR SPRING MC 114412",PCS,2,,,,"1,790,000"
235,,E451,SR01,Main Store,4400028994,"FORD,TD95D,FILTER ELEMENT OUT 47137832",PCS,2,,,,"809,697"
236,,E451,SR01,Main Store,4400028995,"FORD,TD95D,FILTER ELEMENT INN 5080445",PCS,2,,,,"364,957"
237,,E451,SR01,Main Store,4400029422,"MITS,PS120,ELEMENT 044246",PCS,2,,,,90
238,,E451,SR01,Main Store,4400030074,"MEC,GNRL M,CASING POMPA KSSE 50",PCS,2,,,,"4,000,000"
239,,E451,SR01,Main Store,4400030335,"MITS,PS120,THRUST WASHER ME 015047",PCS,2,,,,50
240,,E451,SR01,Main Store,4400031461,"MEC,TYRES,TUBE 18.4 - 34",PCS,2,,,,"2,026,000"
241,,E451,SR01,Main Store,4400045361,"TYRE,TRACTOR,13.6-24",PCS,2,,,,"6,366,600"
242,,E451,SR01,Main Store,4400045365,"TYRE,TRACTOR,16.9-28",PCS,2,,,,"17,324,000"
243,,E451,SR01,Main Store,4400045369,"TYRE,TRACTOR,18.4-34",PCS,2,,,,"13,801,950"
244,,E451,SR01,Main Store,4400054882,"KUB,MX5100,GEAR BEVEL TA150-12530",PCS,2,,,,"1,721,200"
245,,E451,SR01,Main Store,4400055340,"MEC,HOSE,HOSE ASSY 1/2"" R2 60 CM",PCS,2,,,,209
246,,E451,SR01,Main Store,1600007486,"COVER CROP,SEEDS,MUCUNA BRATEATA",KG,1,,,,"1,658,000"
247,,E451,SR01,Main Store,1600015055,"GEN-ST,MW-TOOLS,APAR POWDER 2 KG",UNI,1,,,,80
248,,E451,SR01,Main Store,1600015645,"HARVT,CHISEL,DODOS MSN 5"" 12 CM",PCS,1,,,,"102,113"
249,,E451,SR01,Main Store,4400000304,"MEC,GNRL M,SARUNG TANGAN KULIT",SET,1,,,,80
250,,E451,SR01,Main Store,4400000470,"MEC,BEARING,BEARING 6309",PCS,1,,,,295
251,,E451,SR01,Main Store,4400000590,"MEC,SEAL,OIL SEAL RR DIFF DRIVE MB160949",PCS,1,,,,"63,928"
252,,E451,SR01,Main Store,4400000618,"MEC,SEAL,SEAL KIT 99100061",PCS,1,,,,"2,750,000"
253,,E451,SR01,Main Store,4400000619,"MEC,SEAL,SEAL KIT D277080002",SET,1,,,,"2,500,000"
254,,E451,SR01,Main Store,4400000622,"MEC,SEAL,SEAL KIT HYD CYLINDER 314",SET,1,,,,"1,366,666"
255,,E451,SR01,Main Store,4400000801,"MEC,VLV,BALL VALVE PVC 4""",PCS,1,,,,250
256,,E451,SR01,Main Store,4400000908,"MEC,FLTR,ELMNT FUEL FILTER ME 035829",PCS,1,,,,35
257,,E451,SR01,Main Store,4400001074,"MEC,BUSHING,BUSHING 07177-03025",PCS,1,,,,"371,75"
258,,E451,SR01,Main Store,4400002011,"MITS,PS120,COVER CLUTCH ME 500851",PCS,1,,,,"893,125"
259,,E451,SR01,Main Store,4400002449,"FORD,6640,GEAR CAR 115644",SET,1,,,,995
260,,E451,SR01,Main Store,4400002847,"KOM,GD510R,GUIDE 232-70-12430",PCS,1,,,,"166,666"
261,,E451,SR01,Main Store,4400003264,"MITS,PS120,CYL ASSY CLUTCH PWR ME602533",PCS,1,,,,"295,375"
262,,E451,SR01,Main Store,4400003431,"FORD,6640,BEARING 83992560",PCS,1,,,,300
263,,E451,SR01,Main Store,4400003846,"KOM,GD510R,GEAR 233-71-13354",PCS,1,,,,"2,600,000"
264,,E451,SR01,Main Store,4400005381,"FORD,6640,AXLE SHAFT ASSY CAR 125156",PCS,1,,,,"6,800,000"
265,,E451,SR01,Main Store,4400005608,"FORD,6640,RIM ASSY E5NN-1050-LA",PCS,1,,,,"4,859,933"
266,,E451,SR01,Main Store,4400006661,"FORD,6640,BOLT STUD CAR 3952547",PCS,1,,,,229
267,,E451,SR01,Main Store,4400006847,"MF,390,RIM 1687948 M91",PCS,1,,,,"2,900,000"
268,,E451,SR01,Main Store,4400007143,"FORD,6640,SHAFT 82014319",PCS,1,,,,842
269,,E451,SR01,Main Store,4400007334,"FORD,6640,SEAT ASSY 82013028",PCS,1,,,,"4,565,000"
270,,E451,SR01,Main Store,4400007761,"KOM,GD510R,23A-70-15180 PLATE",PCS,1,,,,160
271,,E451,SR01,Main Store,4400007979,"KOM,GD510R,JOINT 234-71-13243",PCS,1,,,,"1,500,000"
272,,E451,SR01,Main Store,4400009177,"FORD,558D,NUT HEX LOCK N620468-S7",PCS,1,,,,58
273,,E451,SR01,Main Store,4400011647,"MITS,PS120,OIL FILTER CAP MD 008784",PCS,1,,,,"84,444"
274,,E451,SR01,Main Store,4400013493,"HINO,FF173,CYL ASSY MASTER 31420-1570",PCS,1,,,,585
275,,E451,SR01,Main Store,4400013604,"MITS,PS120,CABLE ACCEL MB 390924",PCS,1,,,,"132,5"
276,,E451,SR01,Main Store,4400014860,"ELCT,LAMP,BOLA LAMPU",PCS,1,,,,"90,259"
277,,E451,SR01,Main Store,4400015779,"MEC,SEAL,SEAL SLIDE SPG 48487-1211",PCS,1,,,,396
278,,E451,SR01,Main Store,4400018474,"KUB,B700,SEAL OIL 09550-00008",PCS,1,,,,"255,091"
279,,E451,SR01,Main Store,4400018565,"KOM,GD510R,SHAFT 23A-22-11371",PCS,1,,,,"5,000,000"
280,,E451,SR01,Main Store,4400019228,"LND,LANDINI,FILTER (OIL ) 2654407",PCS,1,,,,"137,516"
281,,E451,SR01,Main Store,4400019229,"LND,LANDINI,FILTER 2654407",PCS,1,,,,120
282,,E451,SR01,Main Store,4400019368,"MITS,PS120,TIE ROD RH 25420-1600",PCS,1,,,,245
283,,E451,SR01,Main Store,4400019794,"LND,LANDINI,FUEL FILTER 26560163",PCS,1,,,,300
284,,E451,SR01,Main Store,4400021666,"MEC,SEAL,GUIDE OIL SEAL 43214-1190",PCS,1,,,,650
285,,E451,SR01,Main Store,4400026341,"MEC,GNRL M,WORM GEAR",PCS,1,,,,"11,000,000"
286,,E451,SR01,Main Store,4400026896,"TRKT,BLRS,PRESSURE DISK 50-3502036",PCS,1,,,,"7,790,000"
287,,E451,SR01,Main Store,4400027985,"HINO,FF172,CYL ASSY CLUCTH 31240-1410",PCS,1,,,,495
288,,E451,SR01,Main Store,4400028077,"HINO,FF172,CYLINDER KIT MAIN CLUTCH31409",PCS,1,,,,55
289,,E451,SR01,Main Store,4400030336,"MITS,PS120,THRUST WASHER ME 015417",PCS,1,,,,50
290,,E451,SR01,Main Store,4400030795,"KOM,GD510R,ELEMENT PWR TRAIN 07063-01054",PCS,1,,,,140
291,,E451,SR01,Main Store,4400045368,"TYRE,TRACTOR,18.4-30",PCS,1,,,,"7,062,000"
292,,E451,SR01,Main Store,4400045592,"TUBE,L300,700-14",PCS,1,,,,"123,952"
293,,E451,SR01,Main Store,4400045920,"TYRE,HILUX,265/70-16 SAVERO A/T PLUS",PCS,1,,,,"1,269,129"
294,,E451,SR01,Main Store,4400055342,"MEC,HOSE,HOSE ASSY 1/2"" R2 200 CM",PCS,1,,,,"208,841"
295,,E451,SR01,Main Store,4400056947,"MEC,HOSE,HOSE ASSY 3/8 R2 40 CM",PCS,1,,,,"70,875"
296,,E451,SR01,Main Store,4400059439,"KOM,GD511A-1,SEAL 07012-10075",PCS,1,,,,75
297,,E451,SR01,Main Store,4400059466,"KOM,GD511A-1,VLV ASYPILOT LH235-61-14500",PCS,1,,,,"19,500,000"
298,,E451,SR01,Main Store,4400059467,"KOM,GD511A-1,VLV ASYPILOT RH235-61-14600",PCS,1,,,,"23,150,000"
299,,E451,SR01,Main Store,4400059468,"KOM,GD511A-1,VLV CTRL ASY LH23A-60-12500",PCS,1,,,,"26,437,000"
300,,E451,SR01,Main Store,4400059469,"KOM,GD511A-1,VLV CTRL ASY RH23A-60-12300",PCS,1,,,,"37,350,000"
301,,E451,SR01,Main Store,4400059470,"KOM,GD511A-1,CYL ASSY MSTR 23A-43-13330",PCS,1,,,,"3,300,000"
