No,,Plnt,Loca,Description,Material,Material Description,BUn,Jumlah SAP,,Ceklis,Keterangan,Harga SAP
50,,E451,SR01,Main Store,4400050134,"MITS,PS125,BOLT RR WHEL HUB LH MK 526746",PCS,44,,,,"2,640,000"
51,,E451,SR01,Main Store,1600017230,"SAFETY,SAFETY BODY HARNESS",PCS,43,,,,"1,204,000"
52,,E451,SR01,Main Store,4400000428,"MEC,BEARING,BEARING 30211",PCS,42,,,,"12,180,137"
53,,E451,SR01,Main Store,4400001308,"MEC,PIPE&FIT,TEE SOCKET PVC 2""X3/4""",PCS,37,,,,"817,42"
54,,E451,SR01,Main Store,4400001231,"MEC,PIPE&FIT,PIPA PVC 2""",PCS,32,,,,"4,800,000"
55,,E451,SR01,Main Store,4400003096,"MITS,PS120,OIL FILTER ME 006066",PCS,31,,,,"2,565,249"
56,,E451,SR01,Main Store,4400001306,"MEC,PIPE&FIT,TEE SOCKET PVC 2""X2""",PCS,30,,,,"1,324,428"
57,,E451,SR01,Main Store,4400018892,"MITS,PS120,CABLE PTO PS 120",PCS,30,,,,"2,917,742"
58,,E451,SR01,Main Store,4400034711,"MITS,PS125,END ASSY TIE ROD LH MK 997508",PCS,30,,,,"7,500,000"
59,,E451,SR01,Main Store,4400003266,"MITS,PS120,CENTER BOLT SUSP SPRING750042",PCS,29,,,,"324,179"
60,,E451,SR01,Main Store,4400001185,"MEC,PIPE&FIT,END CAP PVC 2""",PCS,28,,,,560
61,,E451,SR01,Main Store,1600003148,"SAFETY,SAFETY SHOES",PAA,27,,,,"6,893,967"
62,,E451,SR01,Main Store,4400013629,"MITS,PS120,CENTER BOLT RR SUSP MS 75009",PCS,27,,,,945
63,,E451,SR01,Main Store,1600014970,"GEN-ST,GARD-TOOLS,TOPI NIPPON/JEPANG",PCS,26,,,,650
64,,E451,SR01,Main Store,4400007269,"FORD,6640,FILTER ELEMENT 82011402",PCS,26,,,,"3,380,000"
65,,E451,SR01,Main Store,4400045911,"TYRE,TRUCK,750-16 MIX MAX TRACTION",PCS,26,,,,"45,469,377"
66,,E451,SR01,Main Store,1600015597,"GANCU MSN  14""-12MM GAGANG MODEL T",PCS,25,,,,"877,738"
67,,E451,SR01,Main Store,4400005249,"MEC,HOSE,HOSE HYDRAULIC 0.5""",PCS,25,,,,"4,087,500"
68,,E451,SR01,Main Store,4400014837,"MEC,GNRL M,SUMI SHOWER",PCS,25,,,,"5,844,862"
69,,E451,SR01,Main Store,4400032532,"FORD,TD95D,FUEL FILTER 47135706",PCS,25,,,,"4,269,718"
70,,E451,SR01,Main Store,4400005929,"FORD,6640,ELEMENT FILTER 87800200",PCS,24,,,,"4,063,035"
71,,E451,SR01,Main Store,4400013200,"MITS,PS120,UNIVERSAL JOINT MC 834856",PCS,24,,,,"4,235,419"
72,,E451,SR01,Main Store,1600009766,"FUNGI,MANCOZEB,COZEB 80 WP",L,23.7,,,,"1,611,600"
73,,E451,SR01,Main Store,4400015372,"MITS,PS120,BEARING CENTER MB 000073",PCS,23,,,,"4,446,744"
74,,E451,SR01,Main Store,1600016979,"HARVT,POLE,SIME GOLD POLE 38MMX6M",PCS,21,,,,"10,657,500"
75,,E451,SR01,Main Store,1600003529,"SPRAY,S-FOG,ROUND GASKET AN-3 FIG.349",UNI,20,,,,"100,914"
76,,E451,SR01,Main Store,1600003532,"SPRAY,S-FOG,ROUND GASKET AN-8 FIG.101",UNI,20,,,,"104,6"
77,,E451,SR01,Main Store,4400000907,"MEC,FLTR,ELMNT FUEL FILTER 26561117/3024",PCS,20,,,,"728,571"
78,,E451,SR01,Main Store,4400001288,"MEC,PIPE&FIT,SOCKET PVC 3/4""",PCS,20,,,,"176,55"
79,,E451,SR01,Main Store,4400043281,"INTER,CHAMBER LUBRICAN PAD (366)",PCS,20,,,,804
80,,E451,SR01,Main Store,1600014214,"GEN-ST,HARVT TOOLS,WHEEL BARROW ARTCO",PCS,19,,,,"11,400,000"
81,,E451,SR01,Main Store,1600015609,"HARVT,SAFETY COVER RAZOR HARD COTTON",PCS,19,,,,"516,79"
82,,E451,SR01,Main Store,4400003161,"MITS,PS120,PIN SPRING",PCS,19,,,,665
83,,E451,SR01,Main Store,4400057975,"TYRE,TRUCK,750-16 SUPER 88",PCS,19,,,,"27,823,600"
84,,E451,SR01,Main Store,1600014887,"HERBI,GLUFOSINATE-AMM LIFELINE 280 SL",L,18.57,,,,"3,533,080"
85,,E451,SR01,Main Store,4400000878,"MEC,FLTR,AIR CLEANER 17801-87304-001",PCS,18,,,,"2,176,659"
86,,E451,SR01,Main Store,4400003074,"MEC,GNRL M,NOZZLE",PCS,18,,,,"3,766,492"
87,,E451,SR01,Main Store,4400003641,"MITS,PS120,LEAF SPRING RR NO 6",PCS,18,,,,"4,897,107"
88,,E451,SR01,Main Store,4400003620,"MITS,PS120,LEAF SPRING RR NO 7",PCS,16,,,,"3,081,080"
89,,E451,SR01,Main Store,4400003689,"MITS,PS120,LEAF SPRING RR NO 9",PCS,16,,,,"1,416,000"
90,,E451,SR01,Main Store,1600004793,"SPRAY,S-FOG,HOSE NUT .291",UNI,15,,,,"181,5"
91,,E451,SR01,Main Store,4400001945,"MITS,PS100,BOOT RR BRAKE WHEEL MC 112207",PCS,15,,,,"67,5"
92,,E451,SR01,Main Store,4400003626,"MITS,PS120,LEAF SPRING RR NO 8",PCS,15,,,,"2,150,089"
93,,E451,SR01,Main Store,4400013067,"MITS,PS120,ELEMENT AIR CLEANER MB 120180",PCS,15,,,,"2,550,000"
94,,E451,SR01,Main Store,4400044179,"MEC,BALL BEARING 6206",PCS,15,,,,627
95,,E451,SR01,Main Store,1600002295,"FUNGI,PROPINEB,ANTRACOL 80%",KG,14.99,,,,"2,428,380"
96,,E451,SR01,Main Store,4400003113,"MITS,PS120,PIN RR SPRING MB 035277",PCS,14,,,,"531,186"
97,,E451,SR01,Main Store,1600003495,"SPRAY,S-FOG,COMPLETE HOSE FIG.703",UNI,13,,,,"1,527,500"
98,,E451,SR01,Main Store,4400011729,"MITS,PS120,U BOLT FR MT 160645",PCS,13,,,,520
99,,E451,SR01,Main Store,4400013627,"MITS,PS120,U BOLT RR SUSPSPRNG MH 002476",PCS,13,,,,"1,105,000"
100,,E451,SR01,Main Store,4400045793,"TYRE,TRAKTOR,13.6-28 CANGKUL",PCS,13,,,,"54,743,000"
101,,E451,SR01,Main Store,4400049489,"MEC,TYRES,TUBE 14.9-28",PCS,13,,,,"8,357,073"
102,,E451,SR01,Main Store,4400001157,"MEC,PIPE&FIT,ELBOW PVC 2""",PCS,12,,,,420
103,,E451,SR01,Main Store,4400002951,"FORD,558D,HOSE BUCKET CYL F1NN-B105-AA",PCS,12,,,,"1,116,000"
104,,E451,SR01,Main Store,4400011852,"MITS,PS120,BUMPER FR MB 097235",PCS,12,,,,"1,140,000"
105,,E451,SR01,Main Store,4400013883,"JEEP,TAFT,FUEL FILTER 23303-87308-000",PCS,12,,,,"741,921"
106,,E451,SR01,Main Store,4400044183,"MEC,BALL BEARING 6208",PCS,12,,,,834
107,,E451,SR01,Main Store,4400052307,"TYRE,265/70-16 PSR D697",PCS,12,,,,"19,987,360"
108,,E451,SR01,Main Store,1600004358,"HERBI,DIURON,KARMEX 80 WP",L,11,,,,"1,705,000"
109,,E451,SR01,Main Store,1600016978,"HARVT,POLE,SIME GOLD POLE 32MMX6M",PCS,11,,,,"4,851,000"
110,,E451,SR01,Main Store,4400008154,"KOM,GD510R,SHIM ASSY 233-70-00120",PCS,11,,,,"3,758,333"
111,,E451,SR01,Main Store,4400009059,"FORD,558D,OIL FILTER ASSY E0NN-6714-AA",PCS,11,,,,"1,898,849"
112,,E451,SR01,Main Store,4400011704,"MITS,PS120,HOUSING ASSY RRAXLE MB 864532",PCS,11,,,,"8,741,181"
113,,E451,SR01,Main Store,4400028984,"MITS,PS125,ELEMENT WTR SPRTR ME 121653",PCS,11,,,,385
114,,E451,SR01,Main Store,4400045800,"TUBE,TRACTOR,13.6-28",PCS,11,,,,"7,122,971"
115,,E451,SR01,Main Store,4400000060,"MEC,GNRL M,CAT AIR",KG,10,,,,900
116,,E451,SR01,Main Store,4400000207,"MEC,GNRL M,MASKER",PCS,10,,,,"270,576"
117,,E451,SR01,Main Store,4400000800,"MEC,VLV,BALL VALVE PVC 2""",PCS,10,,,,"591,063"
118,,E451,SR01,Main Store,4400001069,"MEC,HOSE,HOSE PNEUMATIC 3/8""",M,10,,,,"2,550,000"
119,,E451,SR01,Main Store,4400001159,"MEC,PIPE&FIT,ELBOW PVC 3""",PCS,10,,,,"1,000,000"
120,,E451,SR01,Main Store,4400002066,"MITS,PS120,SHACKLE SUSP FRSPRNG MC110330",PCS,10,,,,"1,100,000"
121,,E451,SR01,Main Store,4400007196,"FORD,6640,HOSE 1863047",PCS,10,,,,"2,890,000"
122,,E451,SR01,Main Store,4400044181,"MEC,BALL BEARING 6207",PCS,10,,,,527
123,,E451,SR01,Main Store,4400054719,"MITS,PS120,MK 712523 KING PIN KIT",PCS,10,,,,"4,250,000"
124,,E451,SR01,Main Store,4400056950,"MEC,HOSE,HOSE ASSY 3/8 R2 720 CM",PCS,10,,,,"5,250,000"
125,,E451,SR01,Main Store,4400000011,"MEC,FLTR,FUEL FILTER 5018",PCS,9,,,,585
126,,E451,SR01,Main Store,4400001057,"MEC,HOSE,HOSE 0.5""",M,9,,,,"2,250,000"
127,,E451,SR01,Main Store,4400001951,"MITS,PS100,ELEMENT WATER SEPRTR ME046010",PCS,9,,,,"355,909"
128,,E451,SR01,Main Store,4400003640,"MITS,PS120,LEAF SPRING RR NO 5",PCS,9,,,,"2,540,375"
129,,E451,SR01,Main Store,4400011580,"MITS,PS120.CSHION RADIATOR SPRT MB007930",PCS,9,,,,"617,824"
130,,E451,SR01,Main Store,4400056946,"MEC,HOSE,HOSE ASSY 3/8 R2 350 CM L",PCS,9,,,,"2,592,000"
131,,E451,SR01,Main Store,4400000015,"MEC,GNRL M,AIR ACCU ZUUR",L,8,,,,"1,004,175"
132,,E451,SR01,Main Store,4400001671,"JEEP,TAFT,OIL FILTER 15601-87309",PCS,8,,,,"430,484"
133,,E451,SR01,Main Store,4400002067,"MITS,PS120,SHACKLE SUSP RRSPRNG MB035279",PCS,8,,,,"3,508,364"
134,,E451,SR01,Main Store,4400003099,"MITS,PS120,LEAF SPRING  NO.5",PCS,8,,,,"1,097,716"
135,,E451,SR01,Main Store,4400006135,"FORD,6640,ELEMENT ASSY 87840509",PCS,8,,,,"2,640,000"
136,,E451,SR01,Main Store,4400036330,"MITS,PS125,ME 507832 CYL KIT CLTH MASTR",SET,8,,,,"1,400,000"
137,,E451,SR01,Main Store,4400045577,"TUBE,TRACTOR,13.00-24",PCS,8,,,,"4,784,000"
138,,E451,SR01,Main Store,4400045582,"TUBE,TRACTOR,16.9-28",PCS,8,,,,"5,426,666"
